transaction_id,amount,hour_of_day,day_of_week,merchant_category,transaction_type,distance_from_home,distance_from_last_txn,avg_daily_transactions,velocity_last_hour,failed_attempts_24h,account_age_days,is_international,is_fraud
TXN000000,763.48,19,5,online,card_present,14.5,3.7,6.0,1.0,0,267,0,0
TXN000001,19.35,6,6,grocery,card_present,21.7,15.8,2.0,0.0,0,605,0,0
TXN000002,38.5,16,6,travel,contactless,17.4,15.6,0.0,1.0,0,2848,0,0
TXN000003,54.69,20,1,electronics,card_present,28.3,13.6,2.0,0.0,1,181,0,0
TXN000004,159.87,8,6,restaurant,card_present,3.8,2.1,3.0,0.0,1,3169,1,0
TXN000005,21.63,22,2,travel,card_present,25.7,9.5,4.0,0.0,1,2170,0,0
TXN000006,69.1,9,5,travel,contactless,17.2,2.3,4.0,2.0,1,3474,0,0
TXN000007,63.4,15,6,restaurant,card_present,16.3,7.2,7.0,1.0,0,3303,0,0
TXN000008,108.12,9,5,travel,card_present,0.2,2.3,2.0,2.0,0,486,0,0
TXN000009,51.65,20,3,gas,card_present,7.5,13.6,3.0,1.0,0,2543,0,0
TXN000010,315.92,21,3,clothing,online,21.1,12.5,1.0,3.0,0,2344,0,0
TXN000011,86.58,7,6,travel,card_present,13.3,11.9,1.0,2.0,0,2430,1,0
TXN000012,16.45,20,5,restaurant,card_present,16.1,11.1,3.0,1.0,0,3172,1,0
TXN000013,168.72,7,5,electronics,card_present,4.5,4.8,6.0,3.0,1,2344,0,0
TXN000014,78.31,19,1,online,card_present,14.1,4.8,2.0,2.0,0,1349,0,0
TXN000015,22.4,8,2,grocery,card_present,6.4,14.1,1.0,1.0,0,1425,0,0
TXN000016,102.8,11,5,grocery,contactless,9.4,9.8,4.0,1.0,0,2354,0,0
TXN000017,8695.13,0,1,electronics,online,349.2,528.2,4.0,6.0,3,29,1,1
TXN000018,81.37,10,6,gas,card_present,14.0,11.9,2.0,0.0,0,1838,0,0
TXN000019,84.43,17,1,grocery,card_present,31.5,5.5,4.0,2.0,1,2095,0,0
TXN000020,101.87,1,2,travel,card_present,117.3,682.8,9.0,2.0,3,7,1,1
TXN000021,137.23,13,0,electronics,card_present,5.8,13.3,4.0,0.0,0,827,1,0
TXN000022,123.22,17,2,travel,online,5.7,7.4,5.0,0.0,1,2733,0,0
TXN000023,199.38,19,4,clothing,contactless,10.5,1.7,2.0,0.0,0,1155,0,0
TXN000024,14.37,20,5,grocery,online,6.8,4.7,5.0,1.0,0,1621,0,0
TXN000025,2762.78,5,3,electronics,online,61.8,467.0,12.0,7.0,4,45,0,1
TXN000026,104.09,9,4,gas,card_present,24.3,0.0,2.0,0.0,0,294,0,0
TXN000027,208.22,17,3,gas,card_present,12.7,24.0,2.0,0.0,1,1662,0,0
TXN000028,44.0,20,6,gas,contactless,13.5,31.9,5.0,2.0,0,1892,0,0
TXN000029,61.65,8,6,electronics,online,14.0,9.9,1.0,1.0,0,1199,0,0
TXN000030,99.0,14,2,electronics,card_present,8.6,13.1,4.0,1.0,1,1126,0,0
TXN000031,60.06,6,0,online,online,20.2,22.4,3.0,1.0,0,456,0,0
TXN000032,192.77,6,2,travel,card_present,4.1,17.0,3.0,0.0,1,1358,1,0
TXN000033,84.31,16,1,restaurant,online,9.8,1.1,3.0,2.0,1,3439,0,0
TXN000034,57.77,12,5,online,online,3.5,4.9,3.0,0.0,0,1029,1,0
TXN000035,47.04,18,1,online,online,26.8,8.9,1.0,0.0,0,2639,0,0
TXN000036,254.76,16,0,travel,contactless,26.8,11.7,2.0,2.0,1,3451,0,0
TXN000037,136.71,16,4,electronics,online,27.1,2.2,2.0,0.0,0,667,0,0
TXN000038,59.54,19,6,electronics,card_present,27.1,1.6,3.0,4.0,0,2115,1,0
TXN000039,11.38,18,4,gas,card_present,21.1,21.3,6.0,1.0,0,423,0,0
TXN000040,87.27,7,3,travel,online,6.8,9.4,1.0,1.0,0,1948,0,0
TXN000041,16.11,18,0,grocery,online,25.7,4.9,3.0,1.0,0,1463,1,0
TXN000042,14.53,16,6,gas,contactless,9.4,0.3,2.0,0.0,0,2830,0,0
TXN000043,8.44,9,4,online,card_present,7.0,23.1,2.0,1.0,0,2093,0,0
TXN000044,20.14,11,0,online,online,21.4,4.3,5.0,2.0,0,393,0,0
TXN000045,66.48,15,4,travel,card_present,10.8,19.3,4.0,1.0,0,3577,0,0
TXN000046,41.28,20,3,gas,card_present,24.5,12.9,5.0,0.0,1,2777,1,0
TXN000047,14.34,20,1,grocery,contactless,22.2,6.4,2.0,1.0,0,2792,0,0
TXN000048,281.45,19,4,travel,online,2.2,1.8,3.0,0.0,0,986,0,0
TXN000049,401.68,14,3,online,online,17.5,1.8,3.0,1.0,0,78,1,0
TXN000050,9.15,13,6,restaurant,online,8.2,14.0,1.0,1.0,0,2205,1,0
TXN000051,20.0,20,1,travel,card_present,24.0,2.6,5.0,1.0,0,2702,0,0
TXN000052,96.23,17,1,restaurant,online,11.7,5.1,3.0,1.0,0,779,0,0
TXN000053,21.19,7,2,gas,card_present,1.0,19.1,2.0,4.0,0,1856,0,0
TXN000054,85.93,7,1,travel,card_present,7.7,4.4,2.0,1.0,0,2537,0,0
TXN000055,243.58,9,2,grocery,online,21.6,8.9,5.0,2.0,0,2196,0,0
TXN000056,44.41,13,4,travel,online,17.3,11.2,2.0,1.0,0,708,0,0
TXN000057,177.1,2,3,online,online,252.6,354.1,5.0,4.0,1,41,1,1
TXN000058,84.18,6,4,grocery,contactless,15.6,2.6,10.0,0.0,0,3249,0,0
TXN000059,52.31,10,3,clothing,online,27.0,2.6,3.0,3.0,0,1978,0,0
TXN000060,94.64,12,0,gas,contactless,11.3,18.2,3.0,1.0,0,277,1,0
TXN000061,152.97,12,4,online,online,12.6,2.0,1.0,1.0,0,2745,0,0
TXN000062,22.3,20,3,online,card_present,0.2,3.0,2.0,1.0,0,602,0,0
TXN000063,65.01,20,2,online,card_present,0.1,12.4,3.0,1.0,0,3283,0,0
TXN000064,14.7,11,0,clothing,card_present,24.9,13.4,1.0,1.0,0,1572,1,0
TXN000065,102.74,16,4,clothing,contactless,0.6,28.1,5.0,2.0,1,2088,1,0
TXN000066,46.95,10,2,electronics,contactless,0.2,15.6,2.0,0.0,1,1326,1,0
TXN000067,1704.86,1,3,travel,online,6.2,285.3,6.0,5.0,5,13,1,1
TXN000068,37.96,20,0,grocery,card_present,0.5,9.6,1.0,0.0,0,1532,1,0
TXN000069,21.4,20,4,restaurant,online,17.7,13.0,3.0,1.0,0,576,0,0
TXN000070,67.38,16,3,online,online,1.0,2.0,2.0,0.0,0,2253,0,0
TXN000071,56.25,8,5,grocery,card_present,16.7,6.8,4.0,2.0,0,311,0,0
TXN000072,40.55,6,1,restaurant,card_present,8.1,2.5,1.0,0.0,1,1185,0,0
TXN000073,90.76,8,4,electronics,card_present,5.2,6.7,2.0,0.0,1,1140,0,0
TXN000074,67.67,14,2,electronics,online,25.2,0.7,3.0,0.0,0,1480,0,0
TXN000075,116.4,16,5,gas,card_present,9.3,2.1,2.0,1.0,1,1815,0,0
TXN000076,27.63,15,3,grocery,online,6.0,0.9,4.0,1.0,0,1935,0,0
TXN000077,21.64,12,3,travel,card_present,10.0,8.5,3.0,0.0,0,3550,0,0
TXN000078,81.93,6,0,electronics,card_present,15.6,15.4,3.0,2.0,0,2154,0,0
TXN000079,57.97,10,1,gas,card_present,19.3,12.4,3.0,1.0,1,1540,1,0
TXN000080,9.54,17,4,restaurant,card_present,35.0,1.5,1.0,3.0,0,1228,0,0
TXN000081,15.62,7,0,gas,contactless,6.7,4.8,2.0,0.0,0,372,1,0
TXN000082,41.48,13,2,electronics,card_present,29.1,5.0,3.0,1.0,0,2500,1,0
TXN000083,98.63,15,4,electronics,card_present,16.9,7.2,2.0,0.0,0,413,0,0
TXN000084,186.43,21,1,travel,online,9.7,5.0,3.0,3.0,0,3076,0,0
TXN000085,87.36,9,1,travel,contactless,25.3,5.3,2.0,1.0,1,2154,1,0
TXN000086,157.81,7,1,electronics,card_present,4.0,10.2,6.0,1.0,0,3496,0,0
TXN000087,88.77,22,4,travel,online,34.9,2.5,5.0,2.0,0,1053,0,0
TXN000088,159.72,6,5,grocery,contactless,9.1,0.5,3.0,4.0,1,1020,0,0
TXN000089,133.13,10,5,gas,card_present,29.4,4.6,3.0,2.0,0,805,0,0
TXN000090,12.02,8,3,restaurant,card_present,15.5,3.7,4.0,3.0,0,2911,0,0
TXN000091,12.89,10,5,online,card_present,12.3,9.6,4.0,0.0,0,142,0,0
TXN000092,23.61,9,6,restaurant,card_present,10.6,2.8,2.0,1.0,1,135,0,0
TXN000093,53.22,19,6,electronics,online,21.0,11.5,4.0,2.0,0,1476,1,0
TXN000094,19.33,11,5,restaurant,card_present,30.0,2.2,2.0,1.0,0,848,1,0
TXN000095,22.53,7,4,travel,card_present,3.5,21.2,3.0,1.0,0,1176,0,0
TXN000096,273.22,16,3,electronics,card_present,7.7,27.9,6.0,2.0,0,2582,1,0
TXN000097,175.14,11,1,gas,card_present,34.8,11.2,2.0,2.0,0,2100,0,0
TXN000098,40.01,22,2,travel,card_present,14.1,14.5,2.0,0.0,0,724,1,0
TXN000099,295.17,7,3,travel,card_present,18.6,7.0,4.0,0.0,0,269,1,0
TXN000100,172.31,6,1,online,card_present,12.5,14.2,1.0,1.0,0,2647,0,0
TXN000101,81.3,17,4,travel,online,19.5,16.2,1.0,0.0,0,3343,0,0
TXN000102,37.59,22,4,grocery,online,14.0,0.6,2.0,0.0,0,2933,0,0
TXN000103,33.46,20,2,travel,online,22.5,4.1,7.0,2.0,0,797,0,0
TXN000104,23.32,17,6,restaurant,contactless,33.8,0.4,5.0,2.0,0,1667,1,0
TXN000105,19.78,11,5,clothing,online,6.7,12.1,4.0,0.0,0,539,0,0
TXN000106,120.72,15,4,grocery,card_present,11.6,18.7,0.0,0.0,0,1766,0,0
TXN000107,404.41,11,1,clothing,online,5.3,0.7,1.0,1.0,0,2808,0,0
TXN000108,55.37,17,5,clothing,online,6.3,10.9,3.0,0.0,1,3008,0,0
TXN000109,109.82,13,3,gas,card_present,3.7,1.5,3.0,1.0,0,991,1,0
TXN000110,55.31,12,0,travel,card_present,12.0,15.7,1.0,2.0,0,2934,0,0
TXN000111,12.27,8,4,online,contactless,29.4,12.9,2.0,2.0,0,2054,0,0
TXN000112,87.59,6,2,clothing,online,11.4,9.8,3.0,1.0,0,747,0,0
TXN000113,17.41,20,4,clothing,card_present,0.5,20.7,5.0,1.0,0,346,0,0
TXN000114,22.78,8,3,grocery,contactless,21.5,13.5,3.0,1.0,0,2019,1,0
TXN000115,80.91,21,0,grocery,contactless,7.9,1.8,0.0,0.0,0,2609,0,0
TXN000116,6.9,20,5,grocery,card_present,9.5,0.0,4.0,3.0,0,3274,0,0
TXN000117,27.03,13,1,clothing,card_present,10.1,4.6,3.0,1.0,0,3028,1,0
TXN000118,6.34,22,4,clothing,card_present,12.6,11.9,4.0,1.0,0,2947,0,0
TXN000119,26.98,22,0,gas,card_present,31.2,3.1,3.0,3.0,0,909,0,0
TXN000120,30.22,13,5,travel,card_present,6.7,14.9,2.0,0.0,0,117,0,0
TXN000121,349.55,17,1,online,contactless,2.8,1.0,5.0,1.0,0,3542,0,0
TXN000122,41.66,12,4,electronics,card_present,0.6,10.5,0.0,0.0,0,2879,0,0
TXN000123,144.85,17,2,electronics,contactless,14.0,8.0,0.0,2.0,0,2821,0,0
TXN000124,32.48,18,5,grocery,card_present,14.3,17.5,4.0,0.0,0,338,0,0
TXN000125,44.78,15,3,clothing,online,11.1,6.6,3.0,1.0,1,3097,1,0
TXN000126,36.44,14,4,electronics,card_present,8.7,8.2,1.0,0.0,0,1088,0,0
TXN000127,27.16,6,5,online,contactless,4.3,14.9,3.0,1.0,0,2887,0,0
TXN000128,82.84,12,6,online,card_present,5.2,9.2,5.0,0.0,0,2841,0,0
TXN000129,45.36,13,3,electronics,online,10.5,13.0,3.0,0.0,0,3097,0,0
TXN000130,90.52,15,6,travel,contactless,10.8,2.2,2.0,1.0,0,3321,0,0
TXN000131,89.23,16,2,electronics,card_present,4.9,6.1,2.0,1.0,1,2961,0,0
TXN000132,71.55,10,0,gas,card_present,31.1,20.9,1.0,1.0,0,811,1,0
TXN000133,41.07,21,6,clothing,online,9.6,15.5,2.0,2.0,0,3219,0,0
TXN000134,73.49,7,0,electronics,online,21.4,19.0,0.0,2.0,0,1969,0,0
TXN000135,80.17,7,3,grocery,card_present,9.2,6.3,2.0,3.0,0,967,0,0
TXN000136,73.41,22,2,clothing,contactless,5.2,13.2,4.0,0.0,0,130,0,0
TXN000137,71.38,8,6,gas,online,7.4,8.8,1.0,4.0,0,3475,0,0
TXN000138,26.66,14,6,clothing,contactless,25.6,1.0,1.0,0.0,1,2205,0,0
TXN000139,35.73,15,1,travel,card_present,6.8,7.5,7.0,1.0,0,2635,0,0
TXN000140,115.81,18,6,clothing,card_present,26.4,13.7,7.0,1.0,1,2301,0,0
TXN000141,24.69,20,2,restaurant,contactless,25.0,6.6,4.0,0.0,0,564,0,0
TXN000142,63.08,12,2,gas,card_present,7.9,1.1,4.0,2.0,1,2800,0,0
TXN000143,18.96,15,2,travel,contactless,8.7,4.3,3.0,2.0,0,2124,1,0
TXN000144,10.43,8,0,clothing,card_present,33.1,19.1,1.0,3.0,0,3508,0,0
TXN000145,84.97,7,2,electronics,contactless,10.4,7.5,2.0,0.0,0,229,1,0
TXN000146,16.6,10,4,restaurant,online,0.9,2.5,2.0,0.0,0,3425,0,0
TXN000147,34.2,9,2,travel,card_present,4.9,4.4,4.0,1.0,0,3136,1,0
TXN000148,138.98,7,6,travel,online,8.0,9.8,0.0,1.0,0,2266,0,0
TXN000149,18.43,15,6,electronics,online,5.7,14.4,0.0,3.0,0,394,1,0
TXN000150,126.11,17,1,online,card_present,34.7,11.6,2.0,1.0,0,1744,0,0
TXN000151,123.63,18,2,electronics,contactless,11.8,10.5,3.0,2.0,0,809,1,0
TXN000152,48.24,6,2,travel,card_present,24.5,9.1,4.0,0.0,0,429,0,0
TXN000153,106.2,6,4,gas,online,6.2,5.9,5.0,4.0,0,48,0,0
TXN000154,112.63,9,5,restaurant,online,25.6,15.3,2.0,0.0,1,3312,0,0
TXN000155,17.71,22,1,online,card_present,15.5,2.2,4.0,0.0,0,643,0,0
TXN000156,20.52,7,4,restaurant,contactless,20.3,2.2,3.0,0.0,0,1592,0,0
TXN000157,348.03,8,5,online,online,26.7,22.3,5.0,0.0,1,2646,0,0
TXN000158,14.6,21,1,travel,online,25.0,1.5,2.0,2.0,0,819,1,0
TXN000159,27.49,8,4,travel,online,15.9,16.7,3.0,1.0,0,1204,0,0
TXN000160,40.78,22,1,gas,online,14.3,5.8,2.0,1.0,1,3481,1,0
